"Step","XGBoostModel_sepsis_hirid_n_estimator_tuning - val_loss","XGBoostModel_sepsis_hirid_n_estimator_tuning - val_loss__MIN","XGBoostModel_sepsis_hirid_n_estimator_tuning - val_loss__MAX"
"1","0.7067004178694772","0.7067004178694772","0.7067004178694772"
"2","0.7237050349638778","0.7237050349638778","0.7237050349638778"
"3","0.7310442870908845","0.7310442870908845","0.7310442870908845"
"4","0.7377592398603182","0.7377592398603182","0.7377592398603182"
"5","0.7382664835517057","0.7382664835517057","0.7382664835517057"
"6","0.7451186054854796","0.7451186054854796","0.7451186054854796"
"7","0.7478147879104151","0.7478147879104151","0.7478147879104151"
"8","0.7505469591390888","0.7505469591390888","0.7505469591390888"
"9","0.7518238363601178","0.7518238363601178","0.7518238363601178"
"10","0.7540325327319195","0.7540325327319195","0.7540325327319195"
"11","0.7577223130691911","0.7577223130691911","0.7577223130691911"
"12","0.7583915026705259","0.7583915026705259","0.7583915026705259"
"13","0.7616350075081991","0.7616350075081991","0.7616350075081991"
"14","0.7614400753624282","0.7614400753624282","0.7614400753624282"
"15","0.7638422038316681","0.7638422038316681","0.7638422038316681"
"16","0.7644873061659538","0.7644873061659538","0.7644873061659538"
"17","0.7667506715150469","0.7667506715150469","0.7667506715150469"
"18","0.7688672397124783","0.7688672397124783","0.7688672397124783"
"19","0.7697178387833459","0.7697178387833459","0.7697178387833459"
"20","0.7708036217087865","0.7708036217087865","0.7708036217087865"
"21","0.7727892680601396","0.7727892680601396","0.7727892680601396"
"22","0.7719397686952161","0.7719397686952161","0.7719397686952161"
"23","0.7732295087689168","0.7732295087689168","0.7732295087689168"
"24","0.774460094547824","0.774460094547824","0.774460094547824"
"25","0.7758752159266443","0.7758752159266443","0.7758752159266443"
"26","0.7765483051593942","0.7765483051593942","0.7765483051593942"
"27","0.7767855203809022","0.7767855203809022","0.7767855203809022"
"28","0.7771829615228361","0.7771829615228361","0.7771829615228361"
"29","0.7780694307774747","0.7780694307774747","0.7780694307774747"
"30","0.7795607778413394","0.7795607778413394","0.7795607778413394"
"31","0.7796327603913142","0.7796327603913142","0.7796327603913142"
"32","0.7812806932253675","0.7812806932253675","0.7812806932253675"
"33","0.7813512844619794","0.7813512844619794","0.7813512844619794"
"34","0.7823853762655503","0.7823853762655503","0.7823853762655503"
"35","0.7824838085969169","0.7824838085969169","0.7824838085969169"
"36","0.7833430125578906","0.7833430125578906","0.7833430125578906"
"37","0.7828433481881447","0.7828433481881447","0.7828433481881447"
"38","0.7832875577233179","0.7832875577233179","0.7832875577233179"
"39","0.7852315808225003","0.7852315808225003","0.7852315808225003"
"40","0.7857478692863715","0.7857478692863715","0.7857478692863715"
