"Step","XGBoostModel_sepsis_hirid_n_estimator_tuning - val_loss","XGBoostModel_sepsis_hirid_n_estimator_tuning - val_loss__MIN","XGBoostModel_sepsis_hirid_n_estimator_tuning - val_loss__MAX"
"41","0.7859604313247378","0.7859604313247378","0.7859604313247378"
"42","0.7861392657524869","0.7861392657524869","0.7861392657524869"
"43","0.7859740133109594","0.7859740133109594","0.7859740133109594"
"44","0.78532310106954","0.78532310106954","0.78532310106954"
"45","0.7859591561600926","0.7859591561600926","0.7859591561600926"
"46","0.7862346683321965","0.7862346683321965","0.7862346683321965"
"47","0.7855908213925614","0.7855908213925614","0.7855908213925614"
"48","0.7856142611922906","0.7856142611922906","0.7856142611922906"
"49","0.7854622917158177","0.7854622917158177","0.7854622917158177"
"50","0.7860107286619954","0.7860107286619954","0.7860107286619954"
"51","0.7871395829917037","0.7871395829917037","0.7871395829917037"
"52","0.7867368014800055","0.7867368014800055","0.7867368014800055"
"53","0.7872366561359484","0.7872366561359484","0.7872366561359484"
"54","0.7870959061313544","0.7870959061313544","0.7870959061313544"
"55","0.7873131536584173","0.7873131536584173","0.7873131536584173"
"56","0.7873630926645244","0.7873630926645244","0.7873630926645244"
"57","0.7874067596398765","0.7874067596398765","0.7874067596398765"
"58","0.7881978337285537","0.7881978337285537","0.7881978337285537"
"59","0.7881349700885419","0.7881349700885419","0.7881349700885419"
"60","0.7879400651265136","0.7879400651265136","0.7879400651265136"
"61","0.7881976533273538","0.7881976533273538","0.7881976533273538"
"62","0.7874472658873579","0.7874472658873579","0.7874472658873579"
"63","0.7874862869140025","0.7874862869140025","0.7874862869140025"
"64","0.7874447550980563","0.7874447550980563","0.7874447550980563"
"65","0.7873750782236901","0.7873750782236901","0.7873750782236901"
"66","0.7866434055547378","0.7866434055547378","0.7866434055547378"
"67","0.7869270456658305","0.7869270456658305","0.7869270456658305"
"68","0.7869784155252897","0.7869784155252897","0.7869784155252897"
"69","0.7872054393146328","0.7872054393146328","0.7872054393146328"
"70","0.7877494551957903","0.7877494551957903","0.7877494551957903"
"71","0.7878732919700896","0.7878732919700896","0.7878732919700896"
"72","0.7879232309761968","0.7879232309761968","0.7879232309761968"
"73","0.7882191358976275","0.7882191358976275","0.7882191358976275"
"74","0.7877750523961693","0.7877750523961693","0.7877750523961693"
"75","0.7883451794975628","0.7883451794975628","0.7883451794975628"
"76","0.7887029200192912","0.7887029200192912","0.7887029200192912"
"77","0.7912857956632481","0.7912857956632481","0.7912857956632481"
"78","0.7914158723420613","0.7914158723420613","0.7914158723420613"
"79","0.7910836820669751","0.7910836820669751","0.7910836820669751"
"80","0.7913543654179224","0.7913543654179224","0.7913543654179224"
"81","0.791542432433103","0.791542432433103","0.791542432433103"
"82","0.7915074988528213","0.7915074988528213","0.7915074988528213"
"83","0.7911960225894725","0.7911960225894725","0.7911960225894725"
"84","0.7910533993778995","0.7910533993778995","0.7910533993778995"
"85","0.7912968446189244","0.7912968446189244","0.7912968446189244"
"86","0.79119624747316","0.79119624747316","0.79119624747316"
"87","0.7908403579171667","0.7908403579171667","0.7908403579171667"
"88","0.7907225757036831","0.7907225757036831","0.7907225757036831"
"89","0.7905199406738052","0.7905199406738052","0.7905199406738052"
"90","0.7903813925523485","0.7903813925523485","0.7903813925523485"
"91","0.7905020241162894","0.7905020241162894","0.7905020241162894"
"92","0.7904315218446528","0.7904315218446528","0.7904315218446528"
"93","0.7909801045945398","0.7909801045945398","0.7909801045945398"
"94","0.7907577366389015","0.7907577366389015","0.7907577366389015"
"95","0.7911841630640217","0.7911841630640217","0.7911841630640217"
"96","0.7910487806129345","0.7910487806129345","0.7910487806129345"
"97","0.7911601894744411","0.7911601894744411","0.7911601894744411"
"98","0.7911076556565557","0.7911076556565557","0.7911076556565557"
"99","0.791141447519655","0.791141447519655","0.791141447519655"
"100","0.7914041363790763","0.7914041363790763","0.7914041363790763"
"101","0.7910575140080048","0.7910575140080048","0.7910575140080048"
